code,cost_center,name,manager_name,admin_head_name,address,phone,account_name,account_no
3000,3000AA00,KANTOR PUSAT,,,"Jl. Budi Utomo No. 1 Jakarta Pusat, DKI Jakarta, 10710",21,,
3168,3168CP00,UNIT BISNIS AMBON,apt. Afiff Maralla,,"Jl. Diponegoro No. 66 Ahusen Sirimau, Sirimau, Maluku, 97125",21,MANDIRI KANTOR PUSAT KEA,1860005240961
3102,3102AB00,UNIT BISNIS BALIKPAPAN,apt. Made Nugraha Kusurnajaya M.M,M. Alfian Nur,"Jl. Jend. Achmad Yani No. 95 Gunung Sari, Balikpapan Tengah, Kalimantan Timur, 0",321,PASIF,1490092034653
3101,3101AA00,UNIT BISNIS BANDA ACEH,,,"Jl. Diponegoro No. 8 Kel. Gampong B, Baiturrahman, Aceh,",0651-21559,MANDIRI,1580000164772
3103,3103AC00,UNIT BISNIS BANDUNG,Hendri Susanto,Dian Hardiansyah. S.Ak.,"Jl. Cihampelas No. 7. Cicendo, Jawa Barat, 40171",022-87804760,Mandiri,1300092032120
3169,3169CQ00,UNIT BISNIS BANGKA BELITUNG,Miftahul rozak,,"Jl. Jend. A. Yani No. 96, Tamansari, Kep. Bangka Belitung, 33121",21,MANDIRI KANTOR PUSAT KFA,1690003902506
3107,3107AG00,UNIT BISNIS BANJARMASIN,"apt. Gema Yulan Dahnis,",Bahrul Ilmi,"Jln. Veteran No. 51 B, Banjarmasin Tengah, Kalünantan Selatan, O",5113267113,MANDIRI,310000121916
3108,3108AH00,UNIT BISNIS BATAM,"apt Drs. Heri Sumanto, MM",Eko Junaedi,"Jl. Jend. Sudirman Batam Centre - Batam, Riau, Batam Kota. Kep. Riau, 29461",0778-461415,Bank Mandiri,1090002522704
3110,3110AJ00,UNIT BISNIS BEKASI,"Drs. Hermanta Tarigan, M.Si, Apt.",Rohim,"Cluster Emerald Commercial Blok UA/019, RT.004/RW.011, Summarecon, Bekasi Utara, Jawa Barat, 17143",(021) 89467983,MANDIRI,1560006875191
3112,3112AL00,UNIT BISNIS BOGOR,apt. Yandi S.Si,Aris Wachyuningsih,"Jl. Ir. H. Juanda No. 30, Kota Bogor Tengah, Jawa Barat, 16122",0251-8363473,MANDIR PASIF,1330089003826
